Date,AAPL,AMZN,JPM,MSFT,NVDA,PG,TSLA,UNH,XOM
2024-12-31,3.1803263726241462e-18,0.0,3.2620928540720496e-17,5.929965385006133e-17,0.6181123262582572,4.3992183628261243e-17,0.2534608271574467,3.1437294631077136e-17,0.12842684658429612
2025-01-02,3.0968876468468504e-18,0.0,3.266039310118163e-17,5.888884767110053e-17,0.6366156171719384,4.355396308921055e-17,0.23804631311070623,3.135339826029523e-17,0.1281164289114468
2025-01-03,3.090664538092031e-18,0.0,3.310675088846611e-17,5.955992677739005e-17,0.664968997298238,4.3330918891583474e-17,0.25760316823661417,3.188102087528095e-17,0.12877307418976583
2025-01-06,3.1114924105071813e-18,0.0,3.294534142420037e-17,6.019301807826012e-17,0.6877989241823892,4.214222809732382e-17,0.2579860114249139,3.192265669677778e-17,0.12862980663493884
2025-01-07,3.0760595801780866e-18,0.0,3.3262687564068503e-17,5.94220518176251e-17,0.6450387832743893,4.2325912746400973e-17,0.2475109176689225,3.1958704252022475e-17,0.12983563029458847
2025-01-08,3.0822823004256796e-18,0.0,3.325721687547755e-17,5.973015645184571e-17,0.6449007619152223,4.253583574334256e-17,0.24787495197134518,3.2596947492658445e-17,0.12766275295855237
2025-01-10,3.0079876749859923e-18,0.0,3.2811287502961796e-17,5.894090311855414e-17,0.6255689214072739,4.160692202301886e-17,0.2477494189387198,3.2358926205338405e-17,0.1271971403614511
2025-01-13,2.9768727139727338e-18,0.0,3.340494856822971e-17,5.869329279303191e-17,0.613233323891609,4.168039588264972e-17,0.25312818569000617,3.362981680172664e-17,0.13048033892870067
2025-01-14,2.9626486873944185e-18,0.0,3.385087584067306e-17,5.847945084230675e-17,0.6064671867378149,4.191655722745573e-17,0.24876617138057008,3.3791396549250074e-17,0.13099370737741092
2025-01-15,3.0209414771871144e-18,0.0,3.451840065224466e-17,5.997635742720091e-17,0.6270878587568861,4.189294149832578e-17,0.26876237296701533,3.3771508111552465e-17,0.13313077478082663
2025-01-16,2.898894845771774e-18,0.0,3.478103360598605e-17,5.973296653230106e-17,0.614798338600821,4.211598974945939e-17,0.25972455007388284,3.17312481020237e-17,0.1329039321669885
2025-01-17,2.9207388588379563e-18,0.0,3.544992766475968e-17,6.035902832209341e-17,0.6338539959106804,4.228129985336902e-17,0.26768285400885233,3.167966615702018e-17,0.13409781918243133
2025-01-21,2.8275210176612617e-18,0.0,3.597929291355899e-17,6.028446637136088e-17,0.6482147495726583,4.2436119482340724e-17,0.26615772534607685,3.262615351675874e-17,0.13308301892921767
2025-01-22,2.8426339487739156e-18,0.0,3.595330241758906e-17,6.277462864873868e-17,0.6769363973763692,4.322858406535371e-17,0.26053417492726644,3.22986399737731e-17,0.13076686476357277
2025-01-23,2.8404752083696104e-18,0.0,3.6378718282943027e-17,6.28463762090765e-17,0.6776267851317144,4.3598571928735954e-17,0.2588207658692045,3.292321538938339e-17,0.13150708510090295
2025-01-24,2.829299020983551e-18,0.0,3.622687884858476e-17,6.247355783553514e-17,0.656453746716465,4.3328494894669695e-17,0.25518051861323543,3.3093495614152815e-17,0.1297281912219455
2025-01-27,2.919214744988215e-18,0.0,3.636503841135704e-17,6.11370284037455e-17,0.5450655930772118,4.479108517966735e-17,0.24926200195969334,3.3777724914908625e-17,0.13153095838931655
2025-01-28,3.0258945558183538e-18,0.0,3.654149489433841e-17,6.291531799889833e-17,0.5937174549047713,4.3874988647038275e-17,0.24985197273645987,3.3713088444720304e-17,0.12898797088461533
2025-01-29,3.0398646929241214e-18,0.0,3.6464888453485865e-17,6.22301669406353e-17,0.5693684853111917,4.388554803158746e-17,0.24420961343177236,3.3440889976204523e-17,0.1297401185913705
2025-01-30,3.0173854705425355e-18,0.0,3.6690591634147814e-17,5.838377880864427e-17,0.5737411635213228,4.41970721700742e-17,0.2512264770830061,3.3905123671920515e-17,0.1308146298899636
2025-01-31,2.9971928074427886e-18,0.0,3.656337764870223e-17,5.839362702005606e-17,0.552660279825273,4.3822187670785844e-17,0.2539378296970413,3.371371317250855e-17,0.1275433679669208
