Date,Portfolio Value
2024-12-31,1.0000000000000002
2025-01-02,1.0027783591940915
2025-01-03,1.0513452397246181
2025-01-06,1.0744147329674603
2025-01-07,1.0223853405126824
2025-01-08,1.0204384668451199
2025-01-10,1.000515480707445
2025-01-13,0.996841848510316
2025-01-14,0.9862270747705778
2025-01-15,1.02898101577951
2025-01-16,1.0074268208416925
2025-01-17,1.0356346691019642
2025-01-21,1.047455493847953
2025-01-22,1.0682374370672085
2025-01-23,1.067954636101822
2025-01-24,1.0413624472768641
2025-01-27,0.9258585534262218
2025-01-28,0.9725573985258467
2025-01-29,0.9433182266091165
2025-01-30,0.9557822704942925
2025-01-31,0.9341414774892353
2025-02-03,0.9056263313430387
2025-02-04,0.9235660498766034
2025-02-05,0.9431040652739927
2025-02-06,0.9566773343052857
2025-02-07,0.9545949467892609
2025-02-10,0.9674119880607146
2025-02-11,0.9507513951904005
2025-02-12,0.9441267760004521
2025-02-13,0.9763627888648756
2025-02-14,0.9928185814445207
2025-02-18,0.9965529777732836
2025-02-19,1.0000114363864319
2025-02-20,1.002243545472397
2025-02-21,0.9641028972585517
2025-02-24,0.9411370339728612
2025-02-25,0.9050776138373655
2025-02-26,0.9186239619270765
2025-02-27,0.8626712898989545
2025-02-28,0.8929708067814358
2025-03-03,0.8334557610066526
2025-03-04,0.8341598352267324
2025-03-05,0.8420909917355961
2025-03-06,0.8039176149471872
2025-03-07,0.8148724587041372
2025-03-10,0.7665076103734222
2025-03-11,0.7768114718986164
2025-03-12,0.8199417128867731
2025-03-13,0.8140003920613179
2025-03-14,0.8517618038800794
2025-03-17,0.8366386866036675
2025-03-18,0.8096499912324803
2025-03-19,0.828024308609926
2025-03-20,0.8335148762094731
2025-03-21,0.8370263059021505
2025-03-24,0.8730937028477099
2025-03-25,0.8768503277250376
2025-03-26,0.8368813015359536
2025-03-27,0.8263695695162138
2025-03-28,0.8120624595165146
2025-03-31,0.8048144777280476
2025-04-01,0.8189316641766737
2025-04-02,0.8287038995779583
2025-04-03,0.771791811607317
2025-04-04,0.7100891262401579
2025-04-07,0.7198779009014791
2025-04-08,0.703921883943289
2025-04-09,0.8245720420542204
2025-04-10,0.7739562777807152
2025-04-11,0.7932333507309937
2025-04-14,0.7925468855063634
2025-04-15,0.8001609986144319
2025-04-16,0.7581000104544866
2025-04-17,0.7474657774603428
2025-04-21,0.7157866063542594
2025-04-22,0.7350257505711366
2025-04-23,0.7595046713960606
2025-04-24,0.7836507754053773
2025-04-25,0.8206281854624766
2025-04-28,0.8107887599748368
2025-04-29,0.8156583406787243
2025-04-30,0.8057148737214258
2025-05-01,0.817248966982251
2025-05-02,0.8352691234675147
2025-05-05,0.8242354869760524
2025-05-06,0.8215995140359238
2025-05-07,0.8382284862311316
2025-05-08,0.8468117750717308
2025-05-09,0.8534264092030122
2025-05-12,0.8975132904168
2025-05-13,0.9396225450634506
2025-05-14,0.9718876102424308
2025-05-15,0.9678148042975813
2025-05-16,0.9744583172081897
2025-05-19,0.9681980009230016
2025-05-20,0.9619581199345132
2025-05-21,0.9427393773422288
2025-05-22,0.9506712711229792
2025-05-23,0.9425882048204979
